configuration ID,learning_rate,buffer,batch,tau,gamma,Reward,n_eval_episode
0,0.001,1000,32,0.001,0.5,-1352.338412,1
0,0.001,1000,32,0.001,0.5,-1381.263307,2
0,0.001,1000,32,0.001,0.5,-1383.176071,3
0,0.001,1000,32,0.001,0.5,-1494.011277,4
0,0.001,1000,32,0.001,0.5,-1502.690619,5
0,0.001,1000,32,0.001,0.5,-1494.097413,6
0,0.001,1000,32,0.001,0.5,-1466.069358,7
0,0.001,1000,32,0.001,0.5,-1503.107074,8
0,0.001,1000,32,0.001,0.5,-1497.50303,9
0,0.001,1000,32,0.001,0.5,-1513.583289,10
0,0.001,1000,32,0.001,0.5,-1498.22908,11
0,0.001,1000,32,0.001,0.5,-1491.427948,12
0,0.001,1000,32,0.001,0.5,-1469.353129,13
0,0.001,1000,32,0.001,0.5,-1473.61821,14
0,0.001,1000,32,0.001,0.5,-1505.261995,15
0,0.001,1000,32,0.001,0.5,-1386.108243,16
0,0.001,1000,32,0.001,0.5,-1468.464536,17
0,0.001,1000,32,0.001,0.5,-1438.397446,18
0,0.001,1000,32,0.001,0.5,-1492.018057,19
0,0.001,1000,32,0.001,0.5,-1505.215324,20
1,0.001,1000,32,0.001,0.99,-1.710048,1
1,0.001,1000,32,0.001,0.99,-1.524762,2
1,0.001,1000,32,0.001,0.99,-1.734587,3
1,0.001,1000,32,0.001,0.99,-1501.599965,4
1,0.001,1000,32,0.001,0.99,-266.458437,5
1,0.001,1000,32,0.001,0.99,-139.824771,6
1,0.001,1000,32,0.001,0.99,-124.393251,7
1,0.001,1000,32,0.001,0.99,-784.815924,8
1,0.001,1000,32,0.001,0.99,-779.998129,9
1,0.001,1000,32,0.001,0.99,-781.638849,10
1,0.001,1000,32,0.001,0.99,-259.123274,11
1,0.001,1000,32,0.001,0.99,-1497.703615,12
1,0.001,1000,32,0.001,0.99,-129.551554,13
1,0.001,1000,32,0.001,0.99,-260.202723,14
1,0.001,1000,32,0.001,0.99,-131.200843,15
1,0.001,1000,32,0.001,0.99,-268.697703,16
1,0.001,1000,32,0.001,0.99,-265.52881,17
1,0.001,1000,32,0.001,0.99,-453.94943,18
1,0.001,1000,32,0.001,0.99,-638.102946,19
1,0.001,1000,32,0.001,0.99,-125.029621,20
2,0.001,1000,32,0.01,0.5,-1281.122531,1
2,0.001,1000,32,0.01,0.5,-1345.527987,2
2,0.001,1000,32,0.01,0.5,-1214.822743,3
2,0.001,1000,32,0.01,0.5,-1502.259604,4
2,0.001,1000,32,0.01,0.5,-1515.706249,5
2,0.001,1000,32,0.01,0.5,-1351.991917,6
2,0.001,1000,32,0.01,0.5,-1363.922314,7
2,0.001,1000,32,0.01,0.5,-1432.611899,8
2,0.001,1000,32,0.01,0.5,-1497.109426,9
2,0.001,1000,32,0.01,0.5,-1507.457334,10
2,0.001,1000,32,0.01,0.5,-1317.175483,11
2,0.001,1000,32,0.01,0.5,-1336.936556,12
2,0.001,1000,32,0.01,0.5,-1307.827723,13
2,0.001,1000,32,0.01,0.5,-1394.694666,14
2,0.001,1000,32,0.01,0.5,-1219.251049,15
2,0.001,1000,32,0.01,0.5,-1498.42505,16
2,0.001,1000,32,0.01,0.5,-1386.378028,17
2,0.001,1000,32,0.01,0.5,-1207.746518,18
2,0.001,1000,32,0.01,0.5,-1388.390087,19
2,0.001,1000,32,0.01,0.5,-1240.161288,20
3,0.001,1000,32,0.01,0.99,-121.813277,1
3,0.001,1000,32,0.01,0.99,-241.036996,2
3,0.001,1000,32,0.01,0.99,-350.907587,3
3,0.001,1000,32,0.01,0.99,-249.932724,4
3,0.001,1000,32,0.01,0.99,-124.963347,5
3,0.001,1000,32,0.01,0.99,-1.675108,6
3,0.001,1000,32,0.01,0.99,-243.361882,7
3,0.001,1000,32,0.01,0.99,-364.679573,8
3,0.001,1000,32,0.01,0.99,-2.432996,9
3,0.001,1000,32,0.01,0.99,-116.888147,10
3,0.001,1000,32,0.01,0.99,-125.89025,11
3,0.001,1000,32,0.01,0.99,-121.103274,12
3,0.001,1000,32,0.01,0.99,-1.614196,13
3,0.001,1000,32,0.01,0.99,-115.970236,14
3,0.001,1000,32,0.01,0.99,-242.008985,15
3,0.001,1000,32,0.01,0.99,-129.217669,16
3,0.001,1000,32,0.01,0.99,-129.951416,17
3,0.001,1000,32,0.01,0.99,-249.235095,18
3,0.001,1000,32,0.01,0.99,-120.873885,19
3,0.001,1000,32,0.01,0.99,-256.012776,20
4,0.001,1000,64,0.001,0.5,-1443.957633,1
4,0.001,1000,64,0.001,0.5,-1450.118846,2
4,0.001,1000,64,0.001,0.5,-1444.559226,3
4,0.001,1000,64,0.001,0.5,-1491.705531,4
4,0.001,1000,64,0.001,0.5,-1443.716886,5
4,0.001,1000,64,0.001,0.5,-1313.39822,6
4,0.001,1000,64,0.001,0.5,-1436.345224,7
4,0.001,1000,64,0.001,0.5,-1514.664207,8
4,0.001,1000,64,0.001,0.5,-1457.792495,9
4,0.001,1000,64,0.001,0.5,-1374.636302,10
4,0.001,1000,64,0.001,0.5,-1496.980588,11
4,0.001,1000,64,0.001,0.5,-1334.386452,12
4,0.001,1000,64,0.001,0.5,-1353.512646,13
4,0.001,1000,64,0.001,0.5,-1449.168513,14
4,0.001,1000,64,0.001,0.5,-1479.691807,15
4,0.001,1000,64,0.001,0.5,-1436.356931,16
4,0.001,1000,64,0.001,0.5,-1468.248205,17
4,0.001,1000,64,0.001,0.5,-1262.034412,18
4,0.001,1000,64,0.001,0.5,-1393.951778,19
4,0.001,1000,64,0.001,0.5,-1431.650534,20
5,0.001,1000,64,0.001,0.99,-382.088963,1
5,0.001,1000,64,0.001,0.99,-0.438556,2
5,0.001,1000,64,0.001,0.99,-573.158071,3
5,0.001,1000,64,0.001,0.99,-1.958254,4
5,0.001,1000,64,0.001,0.99,-132.980159,5
5,0.001,1000,64,0.001,0.99,-266.173044,6
5,0.001,1000,64,0.001,0.99,-128.849274,7
5,0.001,1000,64,0.001,0.99,-262.561495,8
5,0.001,1000,64,0.001,0.99,-404.522031,9
5,0.001,1000,64,0.001,0.99,-405.85835,10
5,0.001,1000,64,0.001,0.99,-518.243612,11
5,0.001,1000,64,0.001,0.99,-263.214578,12
5,0.001,1000,64,0.001,0.99,-404.331555,13
5,0.001,1000,64,0.001,0.99,-134.435994,14
5,0.001,1000,64,0.001,0.99,-130.260371,15
5,0.001,1000,64,0.001,0.99,-267.11854,16
5,0.001,1000,64,0.001,0.99,-406.254447,17
5,0.001,1000,64,0.001,0.99,-1492.568126,18
5,0.001,1000,64,0.001,0.99,-403.15521,19
5,0.001,1000,64,0.001,0.99,-427.929616,20
6,0.001,1000,64,0.01,0.5,-1226.509675,1
6,0.001,1000,64,0.01,0.5,-1297.902977,2
6,0.001,1000,64,0.01,0.5,-1493.801393,3
6,0.001,1000,64,0.01,0.5,-1326.740453,4
6,0.001,1000,64,0.01,0.5,-1400.303396,5
6,0.001,1000,64,0.01,0.5,-1503.116895,6
6,0.001,1000,64,0.01,0.5,-1264.937573,7
6,0.001,1000,64,0.01,0.5,-1368.994267,8
6,0.001,1000,64,0.01,0.5,-1491.024625,9
6,0.001,1000,64,0.01,0.5,-1516.643747,10
6,0.001,1000,64,0.01,0.5,-1322.423261,11
6,0.001,1000,64,0.01,0.5,-1366.328246,12
6,0.001,1000,64,0.01,0.5,-1206.390217,13
6,0.001,1000,64,0.01,0.5,-1347.86013,14
6,0.001,1000,64,0.01,0.5,-1330.0834,15
6,0.001,1000,64,0.01,0.5,-1507.108777,16
6,0.001,1000,64,0.01,0.5,-1317.732185,17
6,0.001,1000,64,0.01,0.5,-1521.133173,18
6,0.001,1000,64,0.01,0.5,-1334.611683,19
6,0.001,1000,64,0.01,0.5,-1223.348274,20
7,0.001,1000,64,0.01,0.99,-243.492842,1
7,0.001,1000,64,0.01,0.99,-326.800175,2
7,0.001,1000,64,0.01,0.99,-123.83193,3
7,0.001,1000,64,0.01,0.99,-224.114885,4
7,0.001,1000,64,0.01,0.99,-0.62887,5
7,0.001,1000,64,0.01,0.99,-119.964604,6
